Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,created_at
28,Yes,Travel_Rarely,532.3333333,Research & Development,5,4,Technical Degree,1,65,3,Male,70.04385965,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,23/01/2026
44,No,Travel_Rarely,190.9047619,Sales,1,5,Marketing,1,68,2,Female,25.11904762,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,7/12/2025
35,No,Non-Travel,395.3333333,Research & Development,11,2,Medical,1,70,3,Male,52.01754386,2,3,Healthcare Representative,1,Married,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,9/02/2026
26,No,Travel_Rarely,1020.761905,Sales,23,3,Marketing,1,72,3,Female,134.3107769,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,26/01/2026
33,No,Travel_Frequently,721.2380952,Research & Development,1,2,Life Sciences,1,73,1,Female,94.89974937,3,3,Research Director,4,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,27/11/2025
35,No,Travel_Frequently,525.2857143,Sales,18,5,Life Sciences,1,74,2,Male,69.11654135,3,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,3/12/2025
35,No,Travel_Rarely,762,Research & Development,23,4,Medical,1,75,3,Female,100.2631579,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,19/11/2025
31,No,Travel_Rarely,453.7142857,Research & Development,7,4,Life Sciences,1,76,4,Male,59.69924812,3,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7,20/12/2025
37,No,Travel_Rarely,128.047619,Research & Development,1,4,Life Sciences,1,77,1,Male,16.84837093,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,28/01/2026
32,No,Travel_Rarely,517.952381,Research & Development,1,3,Medical,1,78,1,Male,68.15162907,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,6/12/2025
38,No,Travel_Frequently,259.8095238,Research & Development,29,5,Life Sciences,1,79,4,Female,34.18546366,3,2,Laboratory Technician,4,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9,7/01/2026
50,No,Travel_Rarely,795.2857143,Research & Development,7,2,Medical,1,80,2,Female,104.6428571,2,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,30/11/2025
59,No,Travel_Rarely,112.0952381,Sales,25,3,Life Sciences,1,81,1,Female,14.74937343,3,3,Sales Executive,1,Single,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9,5/02/2026
36,No,Travel_Rarely,390.5714286,Research & Development,8,3,Technical Degree,1,83,3,Female,51.39097744,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8,15/01/2026
55,No,Travel_Rarely,939.5238095,Research & Development,8,3,Medical,1,84,4,Female,123.6215539,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,29/01/2026
36,No,Travel_Frequently,1078.857143,Research & Development,11,3,Life Sciences,1,85,2,Male,141.9548872,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,10/02/2026
45,No,Travel_Rarely,894.6190476,Research & Development,7,3,Life Sciences,1,86,2,Male,117.7130326,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0,4/01/2026
35,No,Travel_Frequently,279.4285714,Research & Development,1,3,Medical,1,88,2,Male,36.76691729,3,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,11/11/2025
36,Yes,Travel_Rarely,1037,Research & Development,9,3,Medical,1,90,4,Male,136.4473684,2,1,Research Scientist,3,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0,8/11/2025
59,No,Travel_Frequently,1174.666667,Sales,1,1,Life Sciences,1,91,1,Female,154.5614035,2,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,6/01/2026
29,No,Travel_Rarely,236,Research & Development,2,3,Life Sciences,1,94,3,Male,31.05263158,3,1,Research Scientist,2,Married,2703,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4,21/12/2025
31,No,Travel_Rarely,894.047619,Research & Development,1,4,Medical,1,95,3,Male,117.6378446,3,1,Research Scientist,2,Single,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,7/11/2025
32,No,Travel_Rarely,349.8095238,Research & Development,1,3,Life Sciences,1,96,2,Male,46.02756892,3,2,Research Scientist,2,Married,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9,25/11/2025
36,No,Travel_Rarely,1047.714286,Research & Development,6,3,Life Sciences,1,97,2,Female,137.8571429,4,1,Laboratory Technician,4,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0,18/11/2025
31,No,Travel_Rarely,984.8571429,Research & Development,8,4,Life Sciences,1,98,3,Female,129.5864662,3,2,Manufacturing Director,4,Single,4424,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8,1/12/2025
35,No,Travel_Rarely,1096,Sales,1,4,Marketing,1,100,3,Male,144.2105263,2,2,Sales Executive,1,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8,15/12/2025
45,No,Travel_Rarely,717.4761905,Research & Development,6,4,Other,1,101,4,Male,94.4047619,3,3,Research Director,1,Married,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0,12/12/2025
37,No,Travel_Rarely,1202.761905,Research & Development,7,4,Medical,1,102,1,Male,158.2581454,3,3,Research Director,3,Single,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,8/02/2026
46,No,Travel_Rarely,496.4285714,Human Resources,5,2,Medical,1,103,2,Male,65.31954887,3,2,Human Resources,2,Divorced,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2,30/12/2025
30,No,Travel_Rarely,761.8095238,Research & Development,1,1,Life Sciences,1,104,4,Male,100.2380952,2,2,Laboratory Technician,4,Married,5126,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,10/12/2025
35,No,Travel_Rarely,1251.333333,Research & Development,1,3,Medical,1,105,2,Male,164.6491228,2,1,Research Scientist,3,Single,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4,19/11/2025
55,No,Travel_Rarely,861.5238095,Sales,1,2,Life Sciences,1,106,1,Male,113.358396,3,3,Sales Executive,4,Married,10239,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0,6/01/2026
38,No,Non-Travel,748.4285714,Research & Development,6,3,Medical,1,107,2,Female,98.47744361,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,8/01/2026
34,No,Travel_Rarely,844.5714286,Research & Development,1,2,Medical,1,110,1,Male,111.1278195,3,2,Manufacturing Director,2,Married,4325,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3,17/01/2026
56,No,Travel_Rarely,1033.238095,Research & Development,7,3,Life Sciences,1,112,4,Male,135.952381,1,3,Manufacturing Director,4,Single,7260,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2,2/12/2025
23,No,Travel_Rarely,453.2380952,Sales,2,1,Technical Degree,1,113,3,Male,59.63659148,3,1,Sales Representative,1,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,7/02/2026
51,No,Travel_Rarely,891.6666667,Research & Development,9,4,Life Sciences,1,116,4,Male,117.3245614,3,1,Laboratory Technician,4,Married,2075,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3,28/01/2026
30,No,Travel_Rarely,753.8095238,Research & Development,2,3,Life Sciences,1,117,3,Male,99.18546366,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,20/12/2025
46,Yes,Travel_Rarely,647.4285714,Sales,9,2,Medical,1,118,3,Male,85.18796992,2,3,Sales Executive,4,Single,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7,12/12/2025
40,No,Travel_Frequently,672.1428571,Research & Development,1,4,Life Sciences,1,119,3,Male,88.43984962,2,4,Healthcare Representative,2,Married,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11,21/01/2026
51,No,Travel_Rarely,401.0952381,Sales,21,4,Marketing,1,120,3,Male,52.77568922,3,2,Sales Executive,4,Single,5441,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0,1/01/2026
30,No,Travel_Rarely,940.952381,Sales,4,2,Medical,1,121,3,Female,123.8095238,2,2,Sales Executive,2,Divorced,5209,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7,19/11/2025
46,No,Travel_Frequently,149.6190476,Research & Development,1,3,Medical,1,124,3,Male,19.68671679,2,3,Healthcare Representative,1,Married,10673,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5,26/01/2026
32,No,Travel_Rarely,1157.190476,Sales,6,4,Medical,1,125,2,Male,152.2619048,3,2,Sales Executive,3,Single,5010,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7,10/01/2026
54,No,Travel_Rarely,1142.904762,Research & Development,2,4,Technical Degree,1,126,1,Female,150.3822055,3,3,Research Director,3,Married,13549,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3,11/01/2026
24,No,Travel_Rarely,834.2380952,Sales,3,2,Other,1,128,1,Female,109.7681704,3,2,Sales Executive,3,Married,4999,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2,11/11/2025
28,No,Non-Travel,422.047619,Sales,4,3,Medical,1,129,2,Male,55.53258145,3,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,3/02/2026
58,No,Travel_Rarely,1162.333333,Sales,10,4,Medical,1,131,4,Male,152.9385965,3,4,Sales Executive,3,Single,13872,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8,2/11/2025
44,No,Non-Travel,1192.52381,Research & Development,23,3,Medical,1,132,2,Male,156.9110276,3,2,Laboratory Technician,2,Married,2042,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2,18/11/2025
37,Yes,Travel_Rarely,1126.095238,Human Resources,6,4,Human Resources,1,133,3,Male,148.1704261,3,1,Human Resources,1,Divorced,2073,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2,19/01/2026
32,No,Travel_Rarely,722.7619048,Research & Development,1,1,Life Sciences,1,134,4,Male,95.10025063,3,1,Research Scientist,1,Single,2956,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0,25/12/2025
20,Yes,Travel_Frequently,942.047619,Research & Development,6,3,Life Sciences,1,137,4,Female,123.9536341,2,1,Laboratory Technician,4,Single,2926,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0,26/11/2025
34,No,Travel_Rarely,594.3809524,Research & Development,6,4,Other,1,138,1,Female,78.20802005,3,2,Research Scientist,3,Single,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10,6/01/2026
37,No,Non-Travel,754.7619048,Research & Development,2,2,Life Sciences,1,139,3,Male,99.31077694,2,2,Healthcare Representative,4,Divorced,5163,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0,28/12/2025
59,No,Non-Travel,1043.904762,Human Resources,2,4,Human Resources,1,140,3,Female,137.3558897,2,5,Manager,4,Married,18844,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2,9/11/2025
50,No,Travel_Frequently,464.5238095,Research & Development,1,3,Life Sciences,1,141,1,Female,61.12155388,3,5,Research Director,2,Married,18172,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7,27/01/2026
25,Yes,Travel_Rarely,1283.761905,Sales,5,3,Marketing,1,142,3,Male,168.9160401,2,2,Sales Executive,3,Single,5744,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3,27/11/2025
25,No,Travel_Rarely,1280.809524,Research & Development,7,1,Medical,1,143,4,Male,168.5275689,2,1,Research Scientist,4,Married,2889,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1,8/12/2025
22,No,Travel_Rarely,1132.619048,Research & Development,15,3,Medical,1,144,2,Female,149.0288221,3,1,Laboratory Technician,4,Single,2871,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0,31/12/2025
51,No,Travel_Frequently,1228.380952,Research & Development,1,4,Medical,1,145,1,Female,161.6290727,2,3,Healthcare Representative,1,Single,7484,25796,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8,22/12/2025
34,Yes,Travel_Frequently,1089.857143,Research & Development,7,3,Life Sciences,1,147,1,Male,143.4022556,1,2,Laboratory Technician,3,Single,6074,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6,19/01/2026
54,No,Non-Travel,660.5238095,Human Resources,26,3,Human Resources,1,148,4,Female,86.91102757,4,4,Manager,4,Single,17328,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4,29/11/2025
24,No,Travel_Rarely,631.2857143,Research & Development,18,1,Life Sciences,1,150,2,Male,83.06390977,3,1,Laboratory Technician,3,Married,2774,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2,3/02/2026
34,No,Travel_Rarely,714.2857143,Research & Development,6,4,Life Sciences,1,151,3,Female,93.98496241,2,2,Research Scientist,2,Divorced,4505,15000,6,Y,No,15,3,3,80,1,12,3,3,1,0,0,0,31/01/2026
37,No,Travel_Rarely,690.7619048,Sales,3,3,Life Sciences,1,152,3,Male,90.88972431,3,3,Sales Executive,4,Single,7428,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3,16/01/2026
34,No,Travel_Rarely,267.3809524,Research & Development,5,3,Medical,1,153,3,Female,35.18170426,2,3,Manager,1,Single,11631,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8,20/11/2025
36,No,Travel_Frequently,1092.952381,Sales,11,2,Technical Degree,1,154,2,Female,143.8095238,3,3,Sales Executive,4,Married,9738,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8,29/12/2025
36,No,Travel_Rarely,121.952381,Research & Development,3,2,Life Sciences,1,155,1,Female,16.04636591,3,1,Laboratory Technician,4,Divorced,2835,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0,22/12/2025
43,No,Travel_Frequently,928.2857143,Sales,26,2,Life Sciences,1,158,3,Male,122.1428571,3,4,Manager,4,Married,16959,19494,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12,25/11/2025
30,No,Travel_Frequently,1062.380952,Research & Development,23,3,Life Sciences,1,159,1,Male,139.7869674,1,1,Research Scientist,3,Divorced,2613,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9,11/01/2026
